2026-04-15 16:01:30 | DEV  | SCAN        | 43 SAML apps                            | ok        | candidates=3 no_match=23 already_oin=9 inactive=3 legacy=1 replaced=4
2026-04-15 17:06:34 | DEV  | AI_REVIEW   | OpenAI - ChatGPT                        | confirmed | OpenAI — Single verified OIN match with exact name match; no government-specific variant exists for OpenAI/ChatGPT.
2026-04-15 17:06:50 | DEV  | CONVERT     | OpenAI - ChatGPT                        | ok        | → openai  new_id=0oaEXAMPLE00EXAMPLE0
2026-04-15 17:07:52 | DEV  | SCAN        | 43 SAML apps                            | ok        | candidates=2 no_match=23 already_oin=9 inactive=3 legacy=1 replaced=5
2026-04-15 17:09:27 | DEV  | SCAN        | 43 SAML apps                            | ok        | candidates=2 no_match=23 already_oin=9 inactive=3 legacy=1 replaced=5
2026-04-15 17:19:40 | DEV  | SCAN        | 43 SAML apps                            | ok        | candidates=2 no_match=23 already_oin=9 inactive=3 legacy=1 replaced=5
2026-04-15 17:23:33 | DEV  | SCAN        | 43 SAML apps                            | ok        | candidates=3 no_match=23 already_oin=9 inactive=3 legacy=1 replaced=4
2026-04-15 17:25:30 | DEV  | SCAN        | 43 SAML apps                            | ok        | candidates=3 no_match=23 already_oin=9 inactive=3 legacy=1 replaced=4
2026-04-15 17:25:42 | DEV  | AI_REVIEW   | OpenAI - ChatGPT                        | confirmed | OpenAI — Single verified OIN match with exact name alignment; no government-specific variant exists for ChatGPT/OpenAI.
2026-04-15 17:26:08 | DEV  | CONVERT     | OpenAI - ChatGPT                        | ok        | → openai  new_id=0oaEXAMPLE00EXAMPLE0
2026-04-15 17:26:40 | DEV  | SCAN        | 43 SAML apps                            | ok        | candidates=2 no_match=23 already_oin=9 inactive=3 legacy=1 replaced=5
2026-04-15 17:29:56 | DEV  | SCAN        | 46 SAML apps                            | ok        | candidates=2 no_match=23 already_oin=12 inactive=3 legacy=1 replaced=5
2026-04-15 17:30:17 | DEV  | SP_CONFIG   | OpenAI - ChatGPT                        | ok        | 
2026-04-15 17:36:25 | DEV  | SCAN        | 46 SAML apps                            | ok        | candidates=2 no_match=23 already_oin=12 inactive=3 legacy=1 replaced=5
2026-04-15 17:39:24 | PROD | SCAN        | 116 SAML apps                           | ok        | candidates=52 no_match=62 already_oin=2 inactive=0 legacy=0 replaced=0
2026-04-15 17:47:07 | PROD | SCAN        | 116 SAML apps                           | ok        | candidates=52 no_match=62 already_oin=2 inactive=0 legacy=0 replaced=0
2026-04-16 07:08:39 | DEV  | SCAN        | 46 SAML apps                            | ok        | candidates=2 no_match=23 already_oin=12 inactive=3 legacy=1 replaced=5
2026-04-16 07:19:19 | DEV  | SCAN        | 46 SAML apps                            | ok        | candidates=2 no_match=23 already_oin=12 inactive=3 legacy=1 replaced=5
2026-04-16 07:20:36 | PROD | SCAN        | 116 SAML apps                           | ok        | candidates=52 no_match=62 already_oin=2 inactive=0 legacy=0 replaced=0
2026-04-16 07:38:28 | DEV  | AI_REVIEW   | Adaptive SSO                            | suggested | Adaptive Insights — 'Adaptive SSO' is a common label for Adaptive Insights SAML; adaptiveinsights is the SAML OIN app vs. adaptiveplanning which is SWA only.
2026-04-16 07:38:28 | DEV  | AI_REVIEW   | Adaptive SSO - Admin                    | suggested | Adaptive Insights — Same product as Adaptive SSO — admin-scoped instance of Adaptive Insights SAML; same OIN template applies.
2026-04-16 07:38:28 | DEV  | AI_REVIEW   | Adobe Cloud Services                    | review_nee| Label 'Adobe Cloud Services' is ambiguous — could be Creative Cloud, Experience Cloud, or Sign; neither candidate matches and the correct OIN app depends on the actual product in use.
2026-04-16 07:38:28 | DEV  | AI_REVIEW   | Adobe Connect                           | confirmed | Adobe Connect — Exact name match to the verified Adobe Connect OIN app.
2026-04-16 07:38:28 | DEV  | AI_REVIEW   | Adobe Connect (test)                    | confirmed | Adobe Connect — Test instance of Adobe Connect — same OIN template as the production app.
2026-04-16 07:38:28 | DEV  | AI_REVIEW   | AlertMedia                              | confirmed | AlertMedia — Exact name match to the verified AlertMedia OIN app.
2026-04-16 07:38:28 | DEV  | AI_REVIEW   | Asana                                   | confirmed | Asana — Exact name match to the verified Asana OIN app.
2026-04-16 07:38:28 | DEV  | AI_REVIEW   | Box Enterprise Plus                     | confirmed | Box — 'Box Enterprise Plus' is a subscription tier of Box, not a distinct product; boxnet is the correct verified OIN app.
2026-04-16 07:38:28 | DEV  | AI_REVIEW   | Carbon Black ER                         | confirmed | VMware Carbon Black Cloud — 'Carbon Black ER' refers to Endpoint Response, which is part of the VMware Carbon Black Cloud (PSC) platform.
2026-04-16 07:38:28 | DEV  | AI_REVIEW   | Carbon Black ER DEV                     | confirmed | VMware Carbon Black Cloud — Dev environment of Carbon Black ER — same product, same OIN template as production.
2026-04-16 07:38:28 | DEV  | AI_REVIEW   | Cisco Webex Control Hub                 | review_nee| None of the candidates are Webex; Cisco Webex Control Hub has its own OIN app (and a Webex for Government variant) — search Okta OIN directly for 'Cisco Webex' to find the right key.
2026-04-16 07:38:28 | DEV  | AI_REVIEW   | CSOD-Pilot                              | confirmed | Cornerstone OnDemand — CSOD is the standard abbreviation for Cornerstone OnDemand; exact OIN match confirmed.
2026-04-16 07:38:28 | DEV  | AI_REVIEW   | CSOD-PILOT-FED                          | confirmed | Cornerstone OnDemand — FED-labeled pilot instance of Cornerstone OnDemand; same OIN template, no distinct gov variant exists in candidates.
2026-04-16 07:38:28 | DEV  | AI_REVIEW   | CSOD-STG                                | confirmed | Cornerstone OnDemand — Staging instance of Cornerstone OnDemand; same OIN template applies.
2026-04-16 07:38:28 | DEV  | AI_REVIEW   | CSOD-STG-FED                            | confirmed | Cornerstone OnDemand — FED-labeled staging instance of Cornerstone OnDemand; same OIN template applies.
2026-04-16 07:38:28 | DEV  | AI_REVIEW   | CSOD-TAM                                | confirmed | Cornerstone OnDemand — TAM-scoped instance of Cornerstone OnDemand; same OIN template applies.
2026-04-16 07:38:28 | DEV  | AI_REVIEW   | CSODFed-TAM                             | confirmed | Cornerstone OnDemand — FED TAM-scoped instance of Cornerstone OnDemand; same OIN template applies.
2026-04-16 07:38:28 | DEV  | AI_REVIEW   | Duo Admin Portal                        | confirmed | Duo Admin Panel — 'Duo Admin Portal' and 'Duo Admin Panel' are the same interface; use standard unencrypted variant unless encrypted assertions are already in use.
2026-04-16 07:38:28 | DEV  | AI_REVIEW   | Everlaw                                 | confirmed | Everlaw — Exact name match to the verified Everlaw OIN app.
2026-04-16 07:38:28 | DEV  | AI_REVIEW   | GCP Production                          | confirmed | Google Cloud Platform — Exact name match to the verified Google Cloud Platform OIN app.
2026-04-16 07:39:31 | DEV  | AI_REVIEW   | GitLab SSO                              | review_nee| Two verified exact-match candidates exist (gitlab vs gitlab_sso); label 'GitLab SSO' leans toward gitlab_sso but human should confirm which OIN template the tenant is configured against.
2026-04-16 07:39:31 | DEV  | AI_REVIEW   | Kronos                                  | review_nee| Only candidate is the Kronos Customer Portal, which is unlikely to match a workforce-management deployment; UKG/Kronos Workforce Central has no verified OIN equivalent, so human must confirm the actual product in use.
2026-04-16 07:39:31 | DEV  | AI_REVIEW   | Lookout                                 | confirmed | Lookout — Verified exact-match OIN app, single unambiguous candidate.
2026-04-16 07:39:31 | DEV  | AI_REVIEW   | PeopleSoft (SandBox)                    | no_oin    | Oracle PeopleSoft has no native OIN SAML template; all candidates are third-party security overlay products, not PeopleSoft itself.
2026-04-16 07:39:31 | DEV  | AI_REVIEW   | Quill                                   | confirmed | Quill — Verified exact-match OIN app, single unambiguous candidate.
2026-04-16 07:39:31 | DEV  | AI_REVIEW   | Quill Staging                           | confirmed | Quill — Staging instance of Quill maps to the same verified OIN template as production.
2026-04-16 07:39:31 | DEV  | AI_REVIEW   | SailPoint                               | suggested | SailPoint IdentityIQ — SailPoint IdentityIQ is SailPoint's primary IGA product and the only SailPoint OIN app; label 'SailPoint' almost certainly refers to it, but the non-exact match warrants a quick confirmation.
2026-04-16 07:39:31 | DEV  | AI_REVIEW   | Salesforce                              | confirmed | Salesforce.com — Label 'Salesforce' maps unambiguously to the main Salesforce.com OIN app; other candidates are distinct Salesforce sub-products.
2026-04-16 07:39:31 | DEV  | AI_REVIEW   | SAML Test App #1                        | no_oin    | SAML Test App #1 is a developer/QA test fixture, not a real product with an OIN equivalent.
2026-04-16 07:39:31 | DEV  | AI_REVIEW   | SAML Tester                             | no_oin    | SAML Tester is a developer/QA test fixture, not a real product with an OIN equivalent.
2026-04-16 07:39:31 | DEV  | AI_REVIEW   | SANS ACLP                               | suggested | SAP Litmos — SANS uses SAP Litmos as the LMS backend for its training programs including ACLP, but the indirect relationship means verification is advisable before migrating.
2026-04-16 07:39:31 | DEV  | AI_REVIEW   | SANS Training - Litmos                  | confirmed | SAP Litmos — Label explicitly names Litmos, and SAP Litmos is the verified OIN match.
2026-04-16 07:39:31 | DEV  | AI_REVIEW   | Sentry                                  | confirmed | Sentry — Verified exact-match OIN app, single unambiguous candidate.
2026-04-16 07:39:31 | DEV  | AI_REVIEW   | ServiceNow - Dev                        | suggested | ServiceNow — The core ServiceNow OIN app (key=servicenow) exists and is the correct template for all ServiceNow instances; it was not returned as a candidate likely due to the ' - Dev' suffix in the label.
2026-04-16 07:39:31 | DEV  | AI_REVIEW   | ServiceNow - Eval                       | suggested | ServiceNow — Same as ServiceNow - Dev; the core ServiceNow OIN template applies to all environment instances.
2026-04-16 07:39:31 | DEV  | AI_REVIEW   | ServiceNow - Prod                       | suggested | ServiceNow — Same as ServiceNow - Dev; the core ServiceNow OIN template applies to all environment instances.
2026-04-16 07:39:31 | DEV  | AI_REVIEW   | ServiceNow - Staging                    | suggested | ServiceNow — Same as ServiceNow - Dev; the core ServiceNow OIN template applies to all environment instances.
2026-04-16 07:39:31 | DEV  | AI_REVIEW   | Singlewire                              | confirmed | Singlewire InformaCast — InformaCast is Singlewire's sole SSO-capable product and the only Singlewire OIN app; match is unambiguous despite non-exact label.
2026-04-16 07:39:31 | DEV  | AI_REVIEW   | Symplicity                              | suggested | Symplicity — Exact name match but OIN app is unverified; confirm Symplicity is still the active integration before migrating.
2026-04-16 07:39:31 | DEV  | AI_REVIEW   | Symplicity - Booker                     | suggested | Symplicity — Same unverified Symplicity OIN app; 'Booker' suffix suggests a specific module or instance that may require custom attribute mapping beyond the template defaults.
2026-04-16 07:40:11 | DEV  | AI_REVIEW   | Symplicity - Fischer                    | confirmed | Symplicity — Exact name match; only one OIN candidate exists for this product.
2026-04-16 07:40:11 | DEV  | AI_REVIEW   | Symplicity - Heinrich                   | confirmed | Symplicity — Exact name match; only one OIN candidate exists for this product.
2026-04-16 07:40:11 | DEV  | AI_REVIEW   | Symplicity - Kaine                      | confirmed | Symplicity — Exact name match; only one OIN candidate exists for this product.
2026-04-16 07:40:11 | DEV  | AI_REVIEW   | Symplicity - Markey                     | confirmed | Symplicity — Exact name match; only one OIN candidate exists for this product.
2026-04-16 07:40:11 | DEV  | AI_REVIEW   | Symplicity - Tester                     | confirmed | Symplicity — Exact name match; only one OIN candidate exists for this product.
2026-04-16 07:40:11 | DEV  | AI_REVIEW   | Sympliciy - Warren                      | confirmed | Symplicity — Label is a typo of Symplicity; exact OIN match exists for this product.
2026-04-16 07:40:11 | DEV  | AI_REVIEW   | UCC-Cisco-UCCE                          | no_oin    | UCCE (Unified Contact Center Enterprise) is a Cisco on-prem telephony platform with no dedicated OIN app; none of the Cisco candidates (ASA VPN, Meraki, Cloudlock, Identity Intelligence) match this product.
2026-04-16 07:40:11 | DEV  | AI_REVIEW   | UCC-CUCM                                | no_oin    | CUCM (Unified Communications Manager) is a Cisco on-prem call manager with no dedicated OIN app; none of the Cisco candidates match this product.
2026-04-16 07:40:11 | DEV  | AI_REVIEW   | UKG Kronos_Test                         | suggested | UKG Ready — UKG Ready was formerly Kronos Workforce Ready, making it the probable match, but verify it is not UKG Workforce Central (formerly Kronos Workforce Central) before confirming.
2026-04-16 07:40:11 | DEV  | AI_REVIEW   | Webex Control Hub (FEDRamp)             | review_nee| Webex Control Hub FedRAMP may require a FedRAMP-specific OIN variant not listed in candidates; ciscocommonidentity (Cisco Webex) is the likely Control Hub integration but the FedRAMP designation must be verified before selecting.
2026-04-16 07:40:11 | DEV  | AI_REVIEW   | Webex Meetings                          | confirmed | Cisco Webex Meetings — Cisco Webex Meetings (key=webex) is a verified OIN app that directly maps to this label.
2026-04-16 07:40:11 | DEV  | AI_REVIEW   | Zoom                                    | confirmed | Zoom for Government — US Senate is a federal government org; the gov-variant OIN app is preferred per policy.
2026-04-16 07:40:11 | DEV  | AI_REVIEW   | AgilQuest                               | no_oin    | AgilQuest is a niche workspace hoteling/reservations platform with no known Okta OIN listing.
2026-04-16 07:40:11 | DEV  | AI_REVIEW   | CE Services                             | no_oin    | CE Services is a known Senate-specific app with no OIN equivalent.
2026-04-16 07:40:11 | DEV  | AI_REVIEW   | ComputerWorks - InterTrac - Casey-it01  | no_oin    | ComputerWorks InterTrac is a known Senate-specific app with no OIN equivalent.
2026-04-16 07:40:11 | DEV  | AI_REVIEW   | ComputerWorks - InterTrac - Reed-it01   | no_oin    | ComputerWorks InterTrac is a known Senate-specific app with no OIN equivalent.
2026-04-16 07:40:11 | DEV  | AI_REVIEW   | ComputerWorks - InterTrac - Reed-it02   | no_oin    | ComputerWorks InterTrac is a known Senate-specific app with no OIN equivalent.
2026-04-16 07:40:11 | DEV  | AI_REVIEW   | ComputerWorks - InterTrac - Schumer-it01| no_oin    | ComputerWorks InterTrac is a known Senate-specific app with no OIN equivalent.
2026-04-16 07:40:11 | DEV  | AI_REVIEW   | ComputerWorks - InterTrac - Sinema-it01 | no_oin    | ComputerWorks InterTrac is a known Senate-specific app with no OIN equivalent.
2026-04-16 07:40:11 | DEV  | AI_REVIEW   | DataPointer SSO                         | no_oin    | DataPointer is a known Senate-specific app with no OIN equivalent.
2026-04-16 07:41:17 | DEV  | AI_REVIEW   | Democratic Cloakroom VPS (JEMNS)        | no_oin    | Senate-specific internal system (JEMNS/Democratic Cloakroom), no commercial OIN equivalent exists.
2026-04-16 07:41:17 | DEV  | AI_REVIEW   | Disbursing GRB SSO                      | no_oin    | GRB (Government Retirement & Benefits) is a Senate Disbursing Office proprietary system with no OIN equivalent.
2026-04-16 07:41:17 | DEV  | AI_REVIEW   | ECM                                     | no_oin    | Label 'ECM' is too generic and almost certainly refers to a Senate on-prem content management system rather than a named commercial product with an OIN listing.
2026-04-16 07:41:17 | DEV  | AI_REVIEW   | Exiger                                  | no_oin    | Exiger is a third-party risk and compliance platform with SAML support but no known verified OIN app in Okta's catalog.
2026-04-16 07:41:17 | DEV  | AI_REVIEW   | iConstituent                            | no_oin    | iConstituent is a Senate-specific custom instance explicitly listed as having no OIN equivalent.
2026-04-16 07:41:17 | DEV  | AI_REVIEW   | iConstituent - Legacy                   | no_oin    | Legacy instance of iConstituent — same Senate-specific custom deployment, no OIN equivalent.
2026-04-16 07:41:17 | DEV  | AI_REVIEW   | Infodesk SSO                            | no_oin    | Infodesk is a niche news and legislative monitoring service used by government offices; no known OIN app exists.
2026-04-16 07:41:17 | DEV  | AI_REVIEW   | IPTV                                    | no_oin    | Senate IPTV is an internal broadcast system explicitly listed as Senate-specific with no OIN equivalent.
2026-04-16 07:41:17 | DEV  | AI_REVIEW   | IPTV - Testing server                   | no_oin    | Test instance of Senate IPTV — same Senate-specific system, no OIN equivalent.
2026-04-16 07:41:17 | DEV  | AI_REVIEW   | JEMNS SSO                               | no_oin    | JEMNS is a Senate-specific judiciary/emergency notification system explicitly listed as having no OIN equivalent.
2026-04-16 07:41:17 | DEV  | AI_REVIEW   | KeyCloak Vyopta SSO                     | no_oin    | This is a custom Keycloak-brokered SSO proxy to Vyopta — the federation topology has no direct OIN counterpart and would require custom SAML regardless.
2026-04-16 07:41:17 | DEV  | AI_REVIEW   | Kronos_Test                             | suggested | UKG Workforce Central (Kronos) — Kronos Workforce Central is now UKG; Okta OIN has a verified 'UKG Workforce Central' app that covers the Kronos product line — verify UKG vs. UKG Pro/Ready based on which module Senate licenses.
2026-04-16 07:41:17 | DEV  | AI_REVIEW   | Law360                                  | no_oin    | Law360 (LexisNexis property) is a legal news subscription service with no known verified OIN app; SSO is handled via custom SAML with the vendor.
2026-04-16 07:41:17 | DEV  | AI_REVIEW   | Lexis Advance                           | suggested | LexisNexis — LexisNexis has a presence in the Okta OIN catalog; verify whether the Senate's entitlement maps to LexisNexis+ or a legacy Lexis Advance endpoint before migrating.
2026-04-16 07:41:17 | DEV  | AI_REVIEW   | LFTS2 (Kiteworks)                       | confirmed | Kiteworks — Kiteworks (formerly Accellion) has a verified OIN app; LFTS2 is the Senate's instance name and maps directly to the Kiteworks OIN template.
2026-04-16 07:41:17 | DEV  | AI_REVIEW   | MATT-Openshift                          | no_oin    | MATT-Openshift is a Senate-internal OpenShift deployment explicitly listed as having no OIN equivalent.
2026-04-16 07:41:17 | DEV  | AI_REVIEW   | MoveSpring                              | no_oin    | MoveSpring is a small corporate wellness platform with no known verified OIN listing; requires custom SAML.
2026-04-16 07:41:17 | DEV  | AI_REVIEW   | OneStream                               | suggested | OneStream — OneStream Software is an enterprise CPM/financial planning platform that supports SAML SSO and likely has an OIN listing; verify catalog presence before migrating.
2026-04-16 07:41:17 | DEV  | AI_REVIEW   | Otis QA                                 | no_oin    | 'Otis QA' appears to be a Senate-internal QA environment or custom tool with no identifiable commercial OIN equivalent.
2026-04-16 07:41:17 | DEV  | AI_REVIEW   | PageFlex                                | no_oin    | PageFlex is a Senate-specific publishing/forms system explicitly listed as having no OIN equivalent.
2026-04-16 07:42:02 | DEV  | AI_REVIEW   | PageProof SSO                           | suggested | PageProof — PageProof is a known SaaS proofing platform with Okta SAML support; OIN app likely exists but label matches directly — verify catalog entry before cutover.
2026-04-16 07:42:02 | DEV  | AI_REVIEW   | Privacy Bee                             | no_oin    | Privacy Bee is a niche consumer/SMB data broker removal service with no known Okta OIN integration.
2026-04-16 07:42:02 | DEV  | AI_REVIEW   | SAAOnCall Staging                       | no_oin    | SAAOnCall is a known Senate-specific app; this is a staging instance of the same — no OIN equivalent.
2026-04-16 07:42:02 | DEV  | AI_REVIEW   | SC Logic SSO                            | no_oin    | SC Logic is a niche enterprise mail/asset tracking platform with no known OIN integration in Okta's catalog.
2026-04-16 07:42:02 | DEV  | AI_REVIEW   | Senate Library LS2                      | no_oin    | Senate Library is a known Senate-specific system; LS2 is an instance of it — no OIN equivalent.
2026-04-16 07:42:02 | DEV  | AI_REVIEW   | SLC leg server: POC Thom Cole           | no_oin    | SLC leg server is a known Senate-specific system; this POC instance has no OIN equivalent.
2026-04-16 07:42:02 | DEV  | AI_REVIEW   | SnapStream                              | no_oin    | SnapStream is a known Senate-specific broadcast monitoring tool with no OIN equivalent.
2026-04-16 07:42:02 | DEV  | AI_REVIEW   | Soap                                    | no_oin    | SOAP is a known Senate-specific app with no OIN equivalent.
2026-04-16 07:42:02 | DEV  | AI_REVIEW   | StackOverFlowForTeams                   | confirmed | Stack Overflow for Teams — Stack Overflow for Teams has a well-established OIN app with SAML support; direct name match, high confidence.
2026-04-16 07:42:02 | DEV  | AI_REVIEW   | Survey                                  | review_nee| Label 'Survey' is too generic — could be SurveyMonkey, Qualtrics, Alchemer, or a custom form tool; human must identify the actual product.
2026-04-16 07:42:02 | DEV  | AI_REVIEW   | Survey                                  | review_nee| Second app with label 'Survey' — duplicate label with different app ID; human must identify both products and determine if they are the same or different tools.
2026-04-16 07:42:02 | DEV  | AI_REVIEW   | TalentComp                              | no_oin    | TalentComp appears to be a niche or custom HR compensation tool with no known OIN integration.
2026-04-16 07:42:02 | DEV  | AI_REVIEW   | UCC-Cisco-Expressway-1                  | suggested | Cisco Expressway — Cisco Expressway has Okta OIN support; this is instance 1 of a multi-node deployment — all four should map to the same OIN app with separate app instances.
2026-04-16 07:42:02 | DEV  | AI_REVIEW   | UCC-Cisco-Expressway-2                  | suggested | Cisco Expressway — Cisco Expressway instance 2 of 4; same OIN app as instance 1.
2026-04-16 07:42:02 | DEV  | AI_REVIEW   | UCC-Cisco-Expressway-3                  | suggested | Cisco Expressway — Cisco Expressway instance 3 of 4; same OIN app as instance 1.
2026-04-16 07:42:02 | DEV  | AI_REVIEW   | UCC-Cisco-Expressway-4                  | suggested | Cisco Expressway — Cisco Expressway instance 4 of 4; same OIN app as instance 1.
2026-04-16 07:42:02 | DEV  | AI_REVIEW   | UCC-CUC-A                               | suggested | Cisco Unity Connection — CUC is Cisco Unity Connection (voicemail/unified messaging); OIN app likely exists — this is node A of a 4-node cluster deployment.
2026-04-16 07:42:02 | DEV  | AI_REVIEW   | UCC-CUC-B                               | suggested | Cisco Unity Connection — Cisco Unity Connection node B; same OIN app as CUC-A.
2026-04-16 07:42:02 | DEV  | AI_REVIEW   | UCC-CUC-C                               | suggested | Cisco Unity Connection — Cisco Unity Connection node C; same OIN app as CUC-A.
2026-04-16 07:42:02 | DEV  | AI_REVIEW   | UCC-CUC-D                               | suggested | Cisco Unity Connection — Cisco Unity Connection node D; same OIN app as CUC-A.
2026-04-16 07:42:51 | DEV  | AI_REVIEW   | UCC-CUCM-IM&P                           | no_oin    | Cisco CUCM IM&P is on-prem telephony/presence infrastructure; SAML SSO is typically bespoke, no standard OIN template exists.
2026-04-16 07:42:51 | DEV  | AI_REVIEW   | UCC-HelpOne-UNX-1                       | no_oin    | HelpOne is a niche product with no known OIN listing; numbered instance suffix suggests a custom Senate deployment.
2026-04-16 07:42:51 | DEV  | AI_REVIEW   | UCC-HelpOne-UNX-2                       | no_oin    | Same product as UCC-HelpOne-UNX-1; second custom instance, no OIN equivalent known.
2026-04-16 07:42:51 | DEV  | AI_REVIEW   | UCC-Imagicle                            | no_oin    | Imagicle is a Cisco UC add-on suite (call analytics, attendant console); no OIN app exists for it.
2026-04-16 07:42:51 | DEV  | AI_REVIEW   | UCC-LineOne-UNX-1                       | no_oin    | LineOne is not a recognizable enterprise SSO product; UNX/numbered suffix indicates custom instance with no OIN equivalent.
2026-04-16 07:42:51 | DEV  | AI_REVIEW   | UCC-LineOne-UNX-2                       | no_oin    | Same product as UCC-LineOne-UNX-1; second custom instance, no OIN equivalent known.
2026-04-16 07:42:51 | DEV  | AI_REVIEW   | UCC-Vyopta                              | no_oin    | Vyopta is a UC analytics/monitoring platform; no OIN app exists for it in the Okta catalog.
2026-04-16 07:42:51 | DEV  | AI_REVIEW   | Veritone                                | no_oin    | Veritone is an AI media analysis platform used in broadcast/government media ops; no known OIN listing.
2026-04-16 07:42:51 | DEV  | AI_REVIEW   | Wall Street Journal                     | suggested | Wall Street Journal — WSJ enterprise subscriptions have a known Okta OIN SAML app; verify OIN key before applying.
2026-04-16 07:42:51 | DEV  | AI_REVIEW   | WebEOC                                  | no_oin    | WebEOC is explicitly identified as a Senate-specific app with no OIN equivalent.
2026-04-16 07:42:51 | DEV  | AI_REVIEW   | WebScribble SSO                         | no_oin    | WebScribble is a niche association/community management platform with no known OIN listing.
2026-04-16 07:42:51 | DEV  | AI_REVIEW   | WellBeing SSO                           | no_oin    | WellBeing SSO is an ambiguous label with no identifiable vendor; cannot map to OIN without more context.
2026-04-16 07:42:51 | DEV  | AI_REVIEW   | WestlawNext                             | suggested | WestlawNext — Thomson Reuters WestlawNext has a known Okta OIN SAML app; verify OIN key before applying.
2026-04-16 07:42:51 | DEV  | AI_REVIEW   | Whitehouse Tours SSO                    | no_oin    | White House Tours SSO is a Senate-managed government-specific application with no OIN equivalent.
2026-04-16 07:54:38 | PROD | SCAN        | 116 SAML apps                           | ok        | candidates=51 no_match=63 already_oin=2 inactive=0 legacy=0 replaced=0
2026-04-16 08:09:05 | DEV  | SCAN        | 46 SAML apps                            | ok        | candidates=1 no_match=24 already_oin=12 inactive=3 legacy=1 replaced=5
